20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21D.Eta,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022222222222222223,0.9555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17647058823529413,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.4444444444444444,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0
0.21875,0.53125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0
0.1774193548387097,0.6129032258064516,0.0,0.0,0.08064516129032258,0.0,0.016129032258064516,0.04838709677419355,0.0
0.1566265060240964,0.6265060240963856,0.0,0.0,0.060240963855421686,0.0,0.03614457831325301,0.060240963855421686,0.0
0.15625,0.609375,0.0,0.0,0.046875,0.0,0.0625,0.078125,0.0
0.13157894736842105,0.6052631578947368,0.0,0.0,0.02631578947368421,0.0,0.05263157894736842,0.07894736842105263,0.0
0.125,0.5625,0.0,0.0,0.03125,0.0,0.0625,0.125,0.0
0.1,0.43333333333333335,0.0,0.0,0.03333333333333333,0.0,0.1,0.3,0.0
0.07142857142857142,0.17857142857142858,0.0,0.0,0.0,0.0,0.10714285714285714,0.5357142857142857,0.0
0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.1,0.7,0.0
0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.1111111111111111,0.75,0.0
0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.1111111111111111,0.7777777777777778,0.0
0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.82,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.8431372549019608,0.0
0.0,0.0,0.0,0.0,0.015625,0.0,0.09375,0.875,0.0
0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0684931506849315,0.8904109589041096,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.8846153846153846,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.9354838709677419,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.9375,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.9047619047619048,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
