20A.EU2,20B.S.796H,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1875,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.20833333333333334,0.125,0.0,0.0,0.20833333333333334,0.08333333333333333,0.0,0.0,0.0,0.0
0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.23333333333333334,0.13333333333333333,0.0,0.0,0.0,0.0
0.0,0.0,0.24242424242424243,0.06060606060606061,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0
0.05263157894736842,0.0,0.2894736842105263,0.02631578947368421,0.0,0.0,0.2631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0
0.07692307692307693,0.0,0.2692307692307692,0.019230769230769232,0.0,0.0,0.28846153846153844,0.057692307692307696,0.0,0.0,0.0,0.0
0.078125,0.0,0.25,0.03125,0.0,0.0,0.296875,0.09375,0.0,0.0,0.0,0.015625
0.04918032786885246,0.0,0.21311475409836064,0.04918032786885246,0.0,0.0,0.3114754098360656,0.13114754098360656,0.0,0.0,0.0,0.0
0.03225806451612903,0.0,0.16129032258064516,0.06451612903225806,0.0,0.0,0.3225806451612903,0.12903225806451613,0.0,0.0,0.0,0.0
0.0273972602739726,0.0,0.1506849315068493,0.0958904109589041,0.0,0.0,0.3424657534246575,0.1232876712328767,0.0273972602739726,0.0,0.0,0.0
0.024390243902439025,0.0,0.14634146341463414,0.10975609756097561,0.0,0.0,0.34146341463414637,0.12195121951219512,0.07317073170731707,0.0,0.0,0.0
0.011764705882352941,0.0,0.12941176470588237,0.11764705882352941,0.0,0.0,0.3058823529411765,0.1411764705882353,0.11764705882352941,0.0,0.011764705882352941,0.0
0.019417475728155338,0.0,0.08737864077669903,0.1553398058252427,0.0,0.0,0.24271844660194175,0.17475728155339806,0.1650485436893204,0.0,0.038834951456310676,0.0
0.039473684210526314,0.0,0.06578947368421052,0.19078947368421054,0.0,0.0,0.21052631578947367,0.16447368421052633,0.19078947368421054,0.0,0.05263157894736842,0.0
0.04285714285714286,0.0,0.06666666666666667,0.19523809523809524,0.0,0.0,0.1761904761904762,0.1523809523809524,0.2,0.0,0.08095238095238096,0.0
0.03225806451612903,0.0,0.0846774193548387,0.17338709677419356,0.0,0.004032258064516129,0.14516129032258066,0.15725806451612903,0.20161290322580644,0.0,0.125,0.0
0.021645021645021644,0.0,0.09090909090909091,0.15151515151515152,0.0,0.0,0.11688311688311688,0.13852813852813853,0.21212121212121213,0.0,0.18181818181818182,0.0
0.018292682926829267,0.0,0.07926829268292683,0.14634146341463414,0.0,0.0,0.09146341463414634,0.10365853658536585,0.2073170731707317,0.0,0.23780487804878048,0.0
0.01904761904761905,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.05714285714285714,0.0761904761904762,0.20952380952380953,0.0,0.26666666666666666,0.0
0.009433962264150943,0.0,0.04716981132075472,0.09433962264150944,0.0,0.009433962264150943,0.04716981132075472,0.0660377358490566,0.25471698113207547,0.0,0.33962264150943394,0.0
0.013333333333333334,0.0,0.02666666666666667,0.06666666666666667,0.0,0.013333333333333334,0.04666666666666667,0.06666666666666667,0.25333333333333335,0.0,0.44666666666666666,0.0
0.00625,0.0,0.01875,0.04375,0.0,0.01875,0.04375,0.06875,0.21875,0.0,0.525,0.0
0.0078125,0.0,0.015625,0.03125,0.0,0.0078125,0.03125,0.0546875,0.1953125,0.0,0.59375,0.0
0.0,0.0,0.010416666666666666,0.03125,0.0,0.0,0.010416666666666666,0.03125,0.17708333333333334,0.010416666666666666,0.65625,0.0
0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.011627906976744186,0.023255813953488372,0.11627906976744186,0.011627906976744186,0.7558139534883721,0.0
0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.06944444444444445,0.0,0.8194444444444444,0.0
0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.8611111111111112,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
