20A.EU1,20A.EU2,20A.S.126A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21F.Iota,21I.Delta,21J.Delta,DanishCluster,Delta.250I,Delta.N.412R
0.0014749262536873156,0.0,0.0,0.0,0.004424778761061947,0.12094395280235988,0.0,0.0,0.014749262536873156,0.11061946902654868,0.0,0.0058997050147492625,0.0,0.004424778761061947,0.05014749262536873,0.0,0.0,0.0
0.001160092807424594,0.0,0.0,0.0,0.00580046403712297,0.13921113689095127,0.0,0.0,0.01160092807424594,0.17053364269141533,0.0,0.009280742459396751,0.0,0.002320185614849188,0.025522041763341066,0.001160092807424594,0.0,0.0
0.0,0.0,0.0,0.0,0.00946969696969697,0.18087121212121213,0.0,0.0,0.017045454545454544,0.2159090909090909,0.0,0.015151515151515152,0.0,0.002840909090909091,0.013257575757575758,0.000946969696969697,0.0,0.0
0.0,0.0,0.0,0.0,0.01228878648233487,0.2542242703533026,0.0,0.0,0.029185867895545316,0.24423963133640553,0.0,0.017665130568356373,0.0,0.006144393241167435,0.01228878648233487,0.0015360983102918587,0.0,0.0
0.0,0.0,0.0,0.0,0.01322418136020151,0.30919395465994964,0.0,0.0,0.04534005037783375,0.27455919395465994,0.0,0.0163727959697733,0.0,0.011964735516372796,0.012594458438287154,0.0012594458438287153,0.0,0.0
0.0,0.0,0.0,0.0005449591280653951,0.013623978201634877,0.29863760217983654,0.0,0.0,0.07629427792915532,0.2997275204359673,0.0,0.01634877384196185,0.0,0.023978201634877384,0.01907356948228883,0.0005449591280653951,0.0,0.0
0.0,0.0,0.0,0.000474158368895211,0.011853959222380275,0.24845898530109056,0.0,0.0,0.13655761024182078,0.29634898055950687,0.0,0.013750592697961118,0.0,0.044570886676149835,0.03366524419155998,0.0,0.0,0.0
0.0,0.0,0.0,0.00039603960396039607,0.007920792079207921,0.18178217821782178,0.0,0.00039603960396039607,0.22495049504950496,0.2633663366336634,0.0,0.008712871287128714,0.0,0.07326732673267326,0.06178217821782178,0.00039603960396039607,0.0,0.0
0.0,0.0,0.0,0.0006724949562878278,0.0057162071284465365,0.12273032952252858,0.0,0.0006724949562878278,0.3043039677202421,0.2104909213180901,0.0,0.004707464694014795,0.0,0.10221923335574983,0.10087424344317418,0.0003362474781439139,0.0,0.0
0.0,0.0,0.0,0.00030902348578491963,0.004944375772558714,0.08745364647713226,0.0,0.0006180469715698393,0.35908529048207666,0.14524103831891225,0.0,0.002472187886279357,0.0,0.12639060568603214,0.14276885043263288,0.00030902348578491963,0.0,0.0
0.0,0.0,0.0,0.0002913752913752914,0.004370629370629371,0.06993006993006994,0.0,0.0005827505827505828,0.3948135198135198,0.08945221445221445,0.0,0.001456876456876457,0.0,0.14248251748251747,0.18298368298368298,0.0002913752913752914,0.0,0.0
0.0,0.0,0.0,0.0,0.00405444540978859,0.05531421951925861,0.0,0.0002896032435563278,0.4193454966695627,0.06052707790327252,0.0,0.0014480162177816392,0.0,0.1500144801621778,0.22299449753837242,0.0002896032435563278,0.0,0.0
0.0,0.0,0.0,0.0,0.002930641484858352,0.034190817323347444,0.0,0.0006512536633018561,0.4220123738196027,0.041028980788016936,0.0,0.0013025073266037122,0.0,0.16085965483555845,0.27710843373493976,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0014803849000740192,0.014803849000740192,0.0,0.0011102886750555144,0.40377498149518876,0.02220577350111029,0.0,0.0011102886750555144,0.0,0.17505551443375278,0.3378978534418949,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0008216926869350862,0.00657354149548069,0.0,0.0016433853738701725,0.38249794576828267,0.010682004930156122,0.0,0.0008216926869350862,0.0,0.18241577649958915,0.37962202136400985,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0009319664492078285,0.005125815470643057,0.0,0.0013979496738117428,0.3620689655172414,0.0060577819198508855,0.0,0.0009319664492078285,0.0,0.17567567567567569,0.41565703634669154,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0010235414534288639,0.004605936540429887,0.0,0.0010235414534288639,0.3398157625383828,0.004605936540429887,0.0,0.0005117707267144319,0.0,0.15916069600818833,0.45496417604913,0.0005117707267144319,0.0,0.0
0.0,0.0,0.0,0.0,0.001129305477131564,0.003952569169960474,0.0,0.000564652738565782,0.31620553359683795,0.004517221908526256,0.0,0.0,0.0,0.15019762845849802,0.4901185770750988,0.000564652738565782,0.0,0.0
0.0,0.0,0.0,0.0,0.0012158054711246201,0.0024316109422492403,0.0,0.0006079027355623101,0.2966565349544073,0.00425531914893617,0.0,0.0,0.0,0.14772036474164132,0.5148936170212766,0.0006079027355623101,0.0,0.0
0.0,0.0,0.0,0.0,0.0006285355122564425,0.0018856065367693275,0.0,0.0006285355122564425,0.27592708988057824,0.0043997485857950975,0.0,0.0,0.0,0.14393463230672532,0.541169076052797,0.0006285355122564425,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.001288659793814433,0.0,0.001288659793814433,0.24742268041237114,0.003865979381443299,0.0,0.0,0.0,0.13853092783505155,0.5695876288659794,0.0006443298969072165,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0006489292667099286,0.0,0.001946787800129786,0.2109020116807268,0.0025957170668397143,0.0,0.0,0.0,0.13757300454250487,0.6035042180402336,0.0006489292667099286,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851063,0.16888297872340424,0.0019946808510638296,0.0,0.0,0.0,0.1389627659574468,0.6542553191489362,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002152080344332855,0.13558106169296988,0.0007173601147776184,0.0,0.0,0.0,0.1327116212338594,0.706599713055954,0.0,0.0007173601147776184,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023148148148148147,0.12114197530864197,0.0,0.0,0.0,0.0,0.12037037037037036,0.7345679012345679,0.0007716049382716049,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.000792393026941363,0.0,0.003169572107765452,0.11648177496038035,0.000792393026941363,0.0,0.0,0.0,0.11489698890649762,0.7393026941362916,0.000792393026941363,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0017467248908296944,0.0,0.0034934497816593887,0.10131004366812227,0.0008733624454148472,0.0,0.0,0.0,0.11877729257641921,0.7519650655021834,0.0017467248908296944,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0009505703422053232,0.0,0.0028517110266159697,0.08079847908745247,0.0009505703422053232,0.0,0.0,0.0,0.12167300380228137,0.7728136882129277,0.0019011406844106464,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0028089887640449437,0.07677902621722846,0.0018726591760299626,0.0,0.0,0.0,0.1198501872659176,0.7808988764044944,0.0018726591760299626,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037105751391465678,0.08070500927643785,0.0027829313543599257,0.0,0.0,0.0,0.11410018552875696,0.7838589981447124,0.0027829313543599257,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0009633911368015414,0.0,0.0038535645472061657,0.08863198458574181,0.0038535645472061657,0.0,0.0,0.0,0.10115606936416185,0.7890173410404624,0.0038535645472061657,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002079002079002079,0.09667359667359668,0.0031185031185031187,0.0,0.0,0.0,0.08835758835758836,0.7952182952182952,0.002079002079002079,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012755102040816326,0.09311224489795919,0.0,0.0,0.0,0.0,0.08290816326530612,0.8048469387755102,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08045977011494253,0.0,0.0,0.0,0.0,0.08045977011494253,0.8256704980842912,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06825938566552901,0.0,0.0,0.0,0.0,0.07508532423208192,0.8464163822525598,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.07352941176470588,0.8529411764705882,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.08163265306122448,0.8571428571428571,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
